Namespace(model='resnet', batch=128, dtA='float32', dtB='float32', dtC='float32', arch='cuda', qnn=False, check=False, auto=True)
1605632 64 147 1441.5237195169439
401408 64 64 637.0678199420164
401408 64 576 5619.746330652788
401408 256 64 628.0673308335644
401408 64 256 2332.5612036778266
401408 128 256 2515.6571186431474
100352 128 1152 9501.742064699103
100352 512 128 1261.4713299550522
100352 512 256 2521.344353003968
100352 128 512 5156.239702858201
100352 256 512 5059.7585613010215
25088 256 2304 9954.436368811255
25088 1024 256 2543.7189408721524
25088 1024 512 5067.95862584569
25088 256 1024 6564.938412476975
25088 512 1024 9537.596685088585
6272 512 4608 11312.149549374266
6272 2048 512 5081.036954810723
6272 2048 1024 9330.777123358232
6272 512 2048 8168.144271023823
