Namespace(model='square', batch=128, dtA='float32', dtB='float32', dtC='float32', arch='cuda', qnn=False, check=False, auto=True)
[cuda(id=0)]
1024 1024 1024 0.00035363149642944337 6072.659448275322
2048 2048 2048 0.0011447088718414306 15008.06851995799
3072 3072 3072 0.003463119983673096 16742.722969275346
4096 4096 4096 0.008066445350646973 17038.35425612555
5120 5120 5120 0.015115847826004029 17758.544481918263
6144 6144 6144 0.0267738139629364 17325.005268585457
7168 7168 7168 0.04531529784202576 16254.707049081417
8192 8192 8192 0.06087711405754089 18061.16542805798
9216 9216 9216 0.08606377720832825 18190.179773337994
10240 10240 10240 0.12436820411682128 17267.143666260792
