Namespace(model='square', batch=128, dtA='float32', dtB='float32', dtC='float32', arch='cuda', qnn=False, check=False, auto=True)
[cuda(id=0)]
1000 1000 1000 0.0005001742839813232 3998.6062139785686
2000 2000 2000 0.0012325928211212157 12980.766824072332
3000 3000 3000 0.00361384916305542 14942.51629316602
4000 4000 4000 0.007720276832580566 16579.71634641694
5000 5000 5000 0.01494155216217041 16731.862746693714
6000 6000 6000 0.025183218717575073 17154.28058838691
7000 7000 7000 0.040622133016586306 16887.345618210184
8000 8000 8000 0.057887683153152465 17689.427944297244
9000 9000 9000 0.08621711993217468 16910.79452836026
10000 10000 10000 0.11729851174354554 17050.51471047374
